epoch,time,train_loss,train_accuracy,val_loss,val_accuracy
1,31.550281763076782,1.0251866396985856,0.47045707915273133,0.9385233333411158,0.5774804905239688
2,66.40309977531433,0.9163670022219187,0.5657748049052397,0.9582244321255381,0.5406911928651059
3,102.90410375595093,0.8588023668481088,0.612597547380156,0.9099066055472214,0.5830546265328874
4,140.45108890533447,0.7609900557742337,0.6700111482720178,0.8362276057070048,0.6399108138238573
5,171.96671795845032,0.613437751231252,0.75,0.9221364880352382,0.6354515050167224
6,201.16599917411804,0.3988563708437725,0.842809364548495,0.9805289287630929,0.6432552954292085
7,229.84925723075867,0.21922797471733396,0.9216833890746934,1.4722110542033695,0.633221850613155
8,258.230021238327,0.12465056059560183,0.9565217391304348,1.5355439000039328,0.6254180602006689
9,286.5041654109955,0.059730067886017604,0.9835562987736901,2.169906640132534,0.5964325529542921
10,315.0446865558624,0.06085713284397487,0.9785395763656634,2.4177246061854536,0.6042363433667781
