epoch,time,train_loss,train_accuracy,val_loss,val_accuracy
1,163.56142592430115,0.5062861612508927,0.8015607580824972,0.32224338203502473,0.887402452619844
2,319.28979897499084,0.2151193217589305,0.9250278706800446,0.36452874022981396,0.8606465997770345
3,495.3710427284241,0.11080417643356216,0.9657190635451505,0.3241433586796523,0.8918617614269788
4,646.7885975837708,0.09689126709121026,0.9671125975473801,0.3637252927424517,0.887402452619844
5,819.5700833797455,0.06261283902860472,0.979654403567447,0.37638205979247824,0.875139353400223
6,980.2438962459564,0.0643592656568241,0.9785395763656634,0.36597284596567037,0.8840579710144928
7,1164.3088982105255,0.07626353951073443,0.9749163879598662,0.3052568769574564,0.8974358974358975
8,1329.4374721050262,0.0619353904641143,0.979654403567447,0.3260294548926279,0.8985507246376812
9,1520.0676410198212,0.030087693102259103,0.9930323299888517,0.31824291552289274,0.8885172798216276
10,1703.879683971405,0.034975032973359674,0.9894091415830546,0.3391975581712414,0.9018952062430323
