epoch,time,train_loss,train_accuracy,val_loss,val_accuracy
1,73.27649402618408,1.4494990025675019,0.6680602006688964,1.5424174043778724,0.7190635451505016
2,155.14399003982544,1.6581236450136572,0.7126532887402452,3.2763964515864648,0.6053511705685619
3,244.78708600997925,1.5166834883699183,0.7290969899665551,1.6118060589634056,0.7447045707915273
4,333.94524216651917,1.5914602057225462,0.7307692307692307,1.726803062950887,0.7212931995540691
5,423.3151390552521,1.4835864994737218,0.7394091415830546,1.639476555246972,0.7469342251950948
6,496.4170527458191,1.5731725596896515,0.7382943143812709,1.4690484382137408,0.7681159420289855
7,565.7204296588898,1.4085164963949883,0.75,1.8114867453591081,0.7525083612040134
8,638.8141958713531,1.4097867597106308,0.7569676700111483,1.4404823572739311,0.7324414715719063
9,709.4192979335785,1.3955268772181908,0.7469342251950948,2.1061873324340006,0.7201783723522854
10,779.8882217407227,1.4476350907697326,0.7539018952062431,2.5116438690236578,0.6599777034559643
